央卫频道C,#genre#
CCTV1,http://39.134.134.84/000000001000/1000000001000021973/index.m3u8?stbId=000000001000&Contentid=1000000001000021973&livemode=1&channel-id=ystenlive&id=01
CCTV2,http://39.134.134.84/000000001000/1000000001000012442/index.m3u8?stbId=000000001000&Contentid=1000000001000012442&livemode=1&channel-id=ystenlive&id=01
CCTV3,http://39.134.134.84/000000001000/1000000001000011218/index.m3u8?stbId=000000001000&Contentid=1000000001000011218&livemode=1&channel-id=ystenlive&id=01
CCTV4,http://39.134.134.84/000000001000/1000000002000031664/index.m3u8?stbId=000000001000&Contentid=1000000002000031664&livemode=1&channel-id=ystenlive&id=01
CCTV5,http://39.134.134.84/000000001000/1000000001000004794/index.m3u8?stbId=000000001000&Contentid=1000000001000004794&livemode=1&channel-id=ystenlive&id=01
CCTV6,http://39.134.134.84/000000001000/1000000001000016466/index.m3u8?stbId=000000001000&Contentid=1000000001000016466&livemode=1&channel-id=ystenlive&id=01
CCTV7,http://39.134.134.84/000000001000/1000000001000017218/index.m3u8?stbId=000000001000&Contentid=1000000001000017218&livemode=1&channel-id=ystenlive&id=01
CCTV8,http://39.134.134.84/000000001000/1000000001000003736/index.m3u8?stbId=000000001000&Contentid=1000000001000003736&livemode=1&channel-id=ystenlive&id=01
CCTV9,http://39.134.134.84/000000001000/1000000001000028286/index.m3u8?stbId=000000001000&Contentid=1000000001000028286&livemode=1&channel-id=ystenlive&id=01
CCTV10,http://39.134.134.84/000000001000/1000000001000026367/index.m3u8?stbId=000000001000&Contentid=1000000001000026367&livemode=1&channel-id=ystenlive&id=01
CCTV11,http://39.134.134.84/000000001000/1000000002000019789/index.m3u8?stbId=000000001000&Contentid=1000000002000019789&livemode=1&channel-id=ystenlive&id=01
CCTV12,http://39.134.134.84/000000001000/1000000001000001640/index.m3u8?stbId=000000001000&Contentid=1000000001000001640&livemode=1&channel-id=ystenlive&id=01
CCTV13,http://39.134.134.84/000000001000/1000000002000021303/index.m3u8?stbId=000000001000&Contentid=1000000002000021303&livemode=1&channel-id=ystenlive&id=01
CCTV14,http://39.134.134.84/000000001000/1000000001000021349/index.m3u8?stbId=000000001000&Contentid=1000000001000021349&livemode=1&channel-id=ystenlive&id=01
CCTV15,http://39.134.134.84/000000001000/1000000002000008163/index.m3u8?stbId=000000001000&Contentid=1000000002000008163&livemode=1&channel-id=ystenlive&id=01
CCTV16,http://39.134.134.84/000000001000/1000000001000020505/index.m3u8?stbId=000000001000&Contentid=1000000001000020505&livemode=1&channel-id=ystenlive&id=01
动作电影,http://39.134.134.84/000000001000/1000000004000018653/index.m3u8?stbId=000000001000&Contentid=1000000004000018653&livemode=1&channel-id=ystenlive&id=01
古装剧场,http://39.134.134.84/000000001000/6859053933687922163/index.m3u8?stbId=000000001000&Contentid=6859053933687922163&livemode=1&channel-id=ystenlive&id=01
家庭剧场,http://39.134.134.84/000000001000/1000000004000008284/index.m3u8?stbId=000000001000&Contentid=1000000004000008284&livemode=1&channel-id=ystenlive&id=01
军旅剧场,http://39.134.134.84/000000001000/7485075951068666323/index.m3u8?stbId=000000001000&Contentid=7485075951068666323&livemode=1&channel-id=ystenlive&id=01
广东卫视,http://39.134.134.84/000000001000/1000000001000028357/index.m3u8?stbId=000000001000&Contentid=1000000001000028357&livemode=1&channel-id=ystenlive&id=01
北京卫视,http://39.134.134.84/000000001000/1000000001000017156/index.m3u8?stbId=000000001000&Contentid=1000000001000017156&livemode=1&channel-id=ystenlive&id=01
天津卫视,http://39.134.134.84/000000001000/1000000001000000831/index.m3u8?stbId=000000001000&Contentid=1000000001000000831&livemode=1&channel-id=ystenlive&id=01
上海卫视,http://39.134.134.84/000000001000/1000000001000030202/index.m3u8?stbId=000000001000&Contentid=1000000001000030202&livemode=1&channel-id=ystenlive&id=01
重庆卫视,http://39.134.134.84/000000001000/1000000002000018937/index.m3u8?stbId=000000001000&Contentid=1000000002000018937&livemode=1&channel-id=ystenlive&id=01
黑龙江卫视,http://39.134.134.84/000000001000/1000000001000009082/index.m3u8?stbId=000000001000&Contentid=1000000001000009082&livemode=1&channel-id=ystenlive&id=01
吉林卫视,http://39.134.134.84/000000001000/6042486520432105075/index.m3u8?stbId=000000001000&Contentid=6042486520432105075&livemode=1&channel-id=ystenlive&id=01
辽宁卫视,http://39.134.134.84/000000001000/1000000002000024033/index.m3u8?stbId=000000001000&Contentid=1000000002000024033&livemode=1&channel-id=ystenlive&id=01
河北卫视,http://39.134.134.84/000000001000/1000000002000017118/index.m3u8?stbId=000000001000&Contentid=1000000002000017118&livemode=1&channel-id=ystenlive&id=01
河南卫视,http://39.134.134.84/000000001000/7304224304099543804/index.m3u8?stbId=000000001000&Contentid=7304224304099543804&livemode=1&channel-id=ystenlive&id=01
